UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air_temperature_K_roll_mean,Air_temperature_K_roll_std,Air_temperature_K_roll_var,Process_temperature_K_roll_mean,Process_temperature_K_roll_std,Process_temperature_K_roll_var,Rotational_speed_rpm_roll_mean,Rotational_speed_rpm_roll_std,Rotational_speed_rpm_roll_var,Torque_Nm_roll_mean,Torque_Nm_roll_std,Torque_Nm_roll_var,Tool_wear_min_roll_mean,Tool_wear_min_roll_std,Tool_wear_min_roll_var,timestamp,ambient_temperature_C,factory_load_density,temp_gap,load_torque_interaction,heat_stress_index
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.49,0.1728840330653417,0.0298888888889381,309.02,0.2201009869230887,0.0484444444445176,1610.9,225.4277169195385,50817.6555555556,36.07,11.30752453506563,127.8601111111112,30.5,10.33064481154116,106.7222222222223,2024-01-01 02:40:00,16.55,22.82,19.5,1063.412,7.282
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.55000000000007,0.1178511301979952,0.0138888888889448,309.08000000000004,0.1686548085425958,0.0284444444445396,1599.2,233.16937096358865,54367.95555555561,36.61,11.650412486736734,135.7321111111112,33.6,10.145606602531632,102.93333333333344,2024-01-01 02:50:00,18.54,37.04,17.50999999999999,1689.0240000000001,8.713799999999999
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.6,0.1054092553392399,0.011111111111173,309.13,0.1059349905476743,0.0112222222223358,1563.1,248.9196434371722,61960.98888888894,39.2,12.51843085658547,156.7111111111112,36.8,9.715966241192904,94.40000000000016,2024-01-01 03:00:00,17.98,23.64,18.069999999999993,1288.38,8.99
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.64,0.1349897115423419,0.0182222222222846,309.16,0.1074967699778926,0.0115555555556799,1552.2,242.56948603555972,58839.955555555614,39.65,12.14644438142748,147.53611111111118,40.2,9.51957048517539,90.6222222222224,2024-01-01 03:10:00,17.22,15.91,18.930000000000007,517.075,9.470999999999998
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.69,0.1286683937710401,0.0165555555556194,309.2,0.066666666667678,0.0044444444445792,1511.5,233.71076616669225,54620.722222222284,41.53,10.82035633013586,117.08011111111117,43.6,9.15544768005489,83.82222222222245,2024-01-01 03:20:00,21.54,14.8,14.610000000000014,631.96,12.4932
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.71,0.1286683937710541,0.016555555555623,309.22,0.0632455532044769,0.0040000000001403,1514.2,232.72864504014603,54162.622222222286,41.58,10.835722813402386,117.41288888888892,47.0,9.439868172337546,89.11111111111138,2024-01-01 03:30:00,19.0,24.19,17.150000000000034,1083.712,11.97
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.74,0.134989711542383,0.0182222222222957,309.23999999999995,0.0516397779508376,0.0026666666668118,1538.4,224.9381149462128,50597.155555555626,39.540000000000006,10.764365079072505,115.87155555555562,50.1,9.780365819106969,95.65555555555588,2024-01-01 03:40:00,19.44,32.88,16.710000000000036,1009.416,12.636000000000001
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.78000000000003,0.1475729574748138,0.0217777777778632,309.26,0.0699205898790666,0.0048888888890366,1540.0,226.59802882343604,51346.66666666674,39.11,11.262173660335542,126.83655555555563,53.2,10.07527225990005,101.51111111111148,2024-01-01 03:50:00,17.21,39.92,19.04000000000002,1025.944,11.7028
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.82,0.1475729574748583,0.0217777777778763,309.28000000000003,0.078881063775613,0.0062222222223723,1492.6,147.2218280917158,21674.26666666672,40.88,9.023647944275211,81.4262222222223,56.2,10.174041041351831,103.5111111111115,2024-01-01 04:00:00,20.18,33.62,16.069999999999993,1254.0259999999998,14.126
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.86,0.1349897115425169,0.0182222222223319,309.31,0.0994428926019631,0.0098888888890455,1524.5,188.02201407754845,35352.27777777783,38.37,10.123355833582728,102.48233333333349,59.3,10.08904796741939,101.78888888888932,2024-01-01 04:10:00,21.17,36.31,15.180000000000007,846.023,15.4541
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,298.91,0.1197218999742952,0.0143333333334551,309.34000000000003,0.1074967699780809,0.0115555555557204,1544.6,172.78901714068664,29856.0444444445,37.61,9.713844644515266,94.35877777777792,62.4,9.61711437432712,92.48888888888932,2024-01-01 04:20:00,19.27,32.43,17.08000000000004,1264.77,14.4525
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,298.95,0.1080123449740662,0.0116666666667966,309.36,0.0966091783088141,0.0093333333335042,1584.7,184.23297448852352,33941.78888888896,35.51,10.058434824122056,101.1721111111113,65.4,8.934328302800532,79.82222222222263,2024-01-01 04:30:00,21.56,36.86,14.689999999999998,906.7560000000001,16.6012
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,298.98,0.103279555899524,0.0106666666668029,309.38,0.0788810637757825,0.006222222222399,1598.0,165.75148734040255,27473.555555555628,34.480000000000004,8.265295585223274,68.31511111111134,68.6,8.52708104283708,72.7111111111115,2024-01-01 04:40:00,20.1,12.29,16.149999999999977,543.218,16.482
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,298.99,0.0994428926018697,0.009888888889027,309.39,0.0737864787384804,0.0054444444446242,1604.1,168.24548863028843,28306.54444444452,34.239999999999995,8.363438952435258,69.94711111111135,71.5,8.316649966583121,69.16666666666703,2024-01-01 04:50:00,20.56,37.9,15.689999999999998,1140.79,17.2704
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.01,0.0994428926018938,0.0098888888890318,309.41,0.0737864787385211,0.0054444444446302,1600.5,173.97972423372937,30268.94444444452,34.79,9.127546828754774,83.31211111111134,74.3,7.97287066662109,63.56666666666703,2024-01-01 05:00:00,22.03,21.89,14.32000000000005,1055.0980000000002,18.945800000000002
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.03000000000003,0.0674948557721591,0.0045555555557045,309.42,0.063245553204866,0.0040000000001895,1635.3,175.3301964231429,30740.677777777877,32.86,8.810751008474455,77.6293333333336,76.9,8.116512661098863,65.87777777777814,2024-01-01 05:10:00,25.71,37.65,10.54000000000002,960.0749999999999,22.8819
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,0.0516397779508961,0.0026666666668178,309.43,0.0483045891559663,0.0023333333335267,1619.1,187.93583420353303,35319.87777777786,34.62,10.007863574876186,100.15733333333355,79.5,8.045012257431468,64.72222222222257,2024-01-01 05:20:00,22.91,12.27,13.339999999999975,592.641,20.8481
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.03000000000003,0.0674948557721482,0.004555555555703,309.42,0.063245553204866,0.0040000000001895,1609.8,182.52171864678968,33314.177777777855,35.3,9.555219632338256,91.30222222222244,82.0,7.958224257542237,63.33333333333368,2024-01-01 05:30:00,21.34,31.46,14.81000000000006,1022.45,19.8462
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,299.01000000000005,0.0994428926018743,0.0098888888890279,309.39,0.1197218999745316,0.0143333333335117,1609.6,182.58221892250828,33336.26666666674,35.04,9.530092689300922,90.82266666666688,84.5,7.691987172809575,59.16666666666704,2024-01-01 05:40:00,24.16,32.07,11.79000000000002,1112.8290000000002,22.951999999999998
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.99,0.1197218999743262,0.0143333333334625,309.36,0.1264911064074048,0.0160000000001694,1568.7,164.9693911002888,27214.90000000004,37.57000000000001,9.424795901120508,88.8267777777779,87.0,7.601169500660944,57.77777777777816,2024-01-01 05:50:00,21.1,39.91,14.949999999999989,1939.626,20.678
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.97,0.1159501808733556,0.0134444444445638,309.33,0.1251665557040909,0.0156666666668253,1575.6,163.77301364999073,26821.60000000005,37.34,9.414079290556726,88.62488888888903,89.6,7.486283753935917,56.04444444444485,2024-01-01 06:00:00,25.31,33.07,10.740000000000009,1213.669,25.5631
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.93999999999994,0.1173787790781782,0.0137777777778837,309.3,0.1414213562378272,0.0200000000001464,1538.4,145.60311351982378,21200.26666666669,38.8,8.282914140969154,68.60666666666678,92.3,7.3037281195595485,53.34444444444486,2024-01-01 06:10:00,22.06,21.48,13.890000000000043,842.0160000000001,22.9424
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.92,0.1032795558993386,0.0106666666667646,309.28000000000003,0.1398411797565225,0.019555555555696,1532.4,151.27987308297168,22885.600000000017,39.45,8.979513721057883,80.63166666666679,94.7,7.484057129065192,56.01111111111153,2024-01-01 06:20:00,23.01,26.72,13.04000000000002,1354.704,24.3906
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.9,0.1054092553393766,0.0111111111112018,309.25,0.143372087784505,0.0205555555556878,1498.1,149.6970644705871,22409.2111111111,41.690000000000005,9.1796211492874,84.26544444444451,97.4,8.044321668799151,64.71111111111155,2024-01-01 06:30:00,25.3,21.0,10.650000000000034,1102.5,28.083000000000002
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.87,0.0823272602353459,0.0067777777778583,309.21,0.1197218999742994,0.0143333333334561,1500.4,147.13576497008918,21648.933333333327,41.41,8.99993209850929,80.99877777777785,100.1,8.319321553534976,69.2111111111116,2024-01-01 06:40:00,26.11,15.88,9.840000000000032,720.952,29.504299999999997
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.85,0.0707106781191911,0.0050000000000758,309.18,0.1032795558994395,0.0106666666667854,1457.4,108.17393401369834,11701.599999999962,43.940000000000005,7.453738808290925,55.55822222222222,102.7,8.525126261691279,72.67777777777832,2024-01-01 06:50:00,25.26,17.46,10.690000000000055,886.968,29.049
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.83000000000004,0.0483045891547131,0.0023333333334056,309.15,0.0707106781194806,0.0050000000001167,1452.3,111.34136697562124,12396.89999999996,44.02,7.509815798895026,56.397333333333336,105.3,8.525126261691282,72.67777777777839,2024-01-01 07:00:00,26.9,16.66,9.050000000000068,818.0060000000001,31.473
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.82,0.0421637021364202,0.0017777777778487,309.14,0.0516397779505538,0.0026666666667825,1423.0,84.45511628472609,7132.666666666606,45.62,6.40603881765739,41.0373333333333,108.0,8.472176684759267,71.77777777777852,2024-01-01 07:10:00,26.62,26.46,9.430000000000007,1283.31,31.944000000000003
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.82,0.0421637021364202,0.0017777777778487,309.14000000000004,0.0516397779505538,0.0026666666667825,1414.3,72.52746606171529,5260.233333333264,46.9,5.134199061197369,26.359999999999943,111.0,8.666666666666721,75.11111111111205,2024-01-01 07:20:00,24.85,37.18,11.100000000000023,1766.05,31.0625
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.82000000000005,0.0421637021364202,0.0017777777778487,309.13,0.0483045891551618,0.0023333333334489,1418.0,75.54542415733096,5707.111111111043,46.95,5.154986798129442,26.573888888888835,114.0,8.856886837057678,78.44444444444557,2024-01-01 07:30:00,25.99,37.38,9.960000000000036,1835.3580000000002,33.267199999999995
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.8,0.0471404520798235,0.0022222222222901,309.11,0.0567646212207733,0.0032222222223378,1444.2,148.53192698316843,22061.733333333275,45.86,7.955040330926463,63.2826666666666,116.9,8.875058685252057,78.76666666666796,2024-01-01 07:40:00,26.38,11.64,9.470000000000027,300.312,34.294000000000004
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.8,0.0471404520798235,0.0022222222222901,309.11,0.0567646212207733,0.0032222222223378,1442.1,148.76189028107953,22130.09999999994,46.57000000000001,7.603661398738545,57.8156666666666,119.8,8.929352346801796,79.73333333333474,2024-01-01 07:50:00,28.66,12.4,7.2900000000000205,574.12,38.1178
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.79,0.0316227766027308,0.0010000000000662,309.11,0.0567646212207733,0.0032222222223378,1446.7,147.29792183794623,21696.67777777772,46.89,7.85980633066461,61.77655555555548,122.7,8.65447860936761,74.90000000000151,2024-01-01 08:00:00,29.52,62.53,6.53000000000003,3370.367,39.852
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.8,0.0471404520798235,0.0022222222222901,309.12,0.0632455532042776,0.0040000000001151,1452.9,144.04432188276846,20748.76666666661,46.05,7.639408063165331,58.36055555555548,125.6,9.143303560530054,83.60000000000157,2024-01-01 08:10:00,26.36,86.03,9.689999999999998,3793.9230000000002,36.904
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.81,0.0567646212203686,0.0032222222222919,309.12,0.0632455532042776,0.0040000000001151,1602.8,463.8631982240741,215169.06666666665,41.97,15.18940054409287,230.71788888888875,128.6,9.46572765295947,89.6000000000016,2024-01-01 08:20:00,29.49,84.92,6.460000000000036,390.632,42.1707
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.82,0.0632455532039378,0.0040000000000721,309.12,0.0632455532042776,0.0040000000001151,1604.3,463.04308654810944,214408.9,42.38,15.506256801691372,240.4439999999999,131.6,9.430447143870484,88.93333333333494,2024-01-01 08:30:00,28.42,62.05,7.53000000000003,3406.5449999999996,41.209
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.82,0.0632455532039378,0.0040000000000721,309.11,0.073786478738043,0.0054444444445596,1617.2,457.4921492951181,209299.06666666665,41.85,15.340740964286349,235.33833333333325,134.6,9.033271832509062,81.60000000000161,2024-01-01 08:40:00,27.98,79.61,7.8700000000000045,3486.9179999999997,41.1306
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.81000000000006,0.0737864787377355,0.0054444444445142,309.09000000000003,0.0737864787380511,0.0054444444445608,1636.5,450.0084567106613,202507.6111111111,40.510000000000005,15.280448655426026,233.49211111111103,137.8,8.954204474869856,80.17777777777935,2024-01-01 08:50:00,29.92,62.96,5.930000000000007,2209.896,45.4784
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.8,0.0816496580931817,0.0066666666667334,309.08000000000004,0.0788810637754029,0.0062222222223391,1658.4,446.42809549180976,199298.0444444444,38.77,15.386361204362489,236.74011111111105,140.7,9.043720964784928,81.78888888889041,2024-01-01 09:00:00,32.2,91.63,3.650000000000034,2758.063,49.588
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.8,0.0816496580931817,0.0066666666667334,309.08000000000004,0.0788810637754029,0.0062222222223391,1660.7,445.51669129475073,198485.1222222222,37.93,14.983772703976936,224.5134444444444,143.5,9.009254501159797,81.16666666666802,2024-01-01 09:10:00,32.05,91.75,3.900000000000034,3734.2250000000004,49.99799999999999
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.81,0.0737864787377355,0.0054444444445142,309.09000000000003,0.0737864787380468,0.0054444444445602,1624.1,443.90726008430585,197053.6555555556,39.59,14.398722937199052,207.3232222222221,146.3,8.692908987598333,75.56666666666787,2024-01-01 09:20:00,29.4,84.44,6.550000000000068,3580.256,46.452
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.81,0.0737864787377355,0.0054444444445142,309.09000000000003,0.0737864787380468,0.0054444444445602,1633.6,440.0058585468557,193605.1555555556,38.99,14.211845606941958,201.97655555555545,149.0,8.286535263104101,68.66666666666775,2024-01-01 09:30:00,30.19,92.42,5.760000000000048,3724.526,48.304
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,298.81,0.0737864787377355,0.0054444444445142,309.07000000000005,0.0674948557719486,0.0045555555556761,1657.2,433.86039741424247,188234.84444444443,36.55,13.441250768519357,180.66722222222216,151.7,7.587270040447191,57.56666666666753,2024-01-01 09:40:00,31.15,88.4,4.7000000000000455,2607.8,50.463
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,298.8,0.0666666666671771,0.0044444444445125,309.06,0.051639777950626,0.0026666666667899,1653.8,436.1227655909132,190203.06666666665,37.58,14.44151423270196,208.55733333333328,154.2,7.420691791650375,55.06666666666726,2024-01-01 09:50:00,32.12,89.0,3.830000000000041,4841.599999999999,52.99799999999999
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,298.79,0.0567646212203392,0.0032222222222885,309.06000000000006,0.051639777950626,0.0026666666667899,1507.0,109.04127658827277,11890.0000000002,42.38,9.336523264399151,87.17066666666659,156.6,7.2755297630711215,52.933333333333735,2024-01-01 10:00:00,31.21,79.94,4.740000000000066,4204.844,52.1207
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,298.78,0.0421637021363462,0.0017777777778425,309.05,0.0527046276706597,0.0027777777779028,1527.9,102.46457382378097,10498.98888888906,40.71,8.282303758952304,68.59655555555548,159.0,6.97614984548547,48.66666666666694,2024-01-01 10:10:00,31.65,70.71,4.2000000000000455,2701.122,53.488499999999995
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,298.78000000000003,0.0421637021363462,0.0017777777778425,309.05,0.0527046276706597,0.0027777777779028,1561.1,138.71429470518055,19241.655555555684,38.620000000000005,9.895767894520477,97.92622222222218,161.5,6.670832032063175,44.50000000000011,2024-01-01 10:20:00,30.27,67.62,5.580000000000041,1548.498,52.0644
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,298.80000000000007,0.0471404520798278,0.0022222222222905,309.05,0.0527046276706597,0.0027777777779028,1585.8,159.86438697290373,25556.622222222315,37.7,10.657704568370557,113.58666666666664,163.7,6.815831244650609,46.45555555555547,2024-01-01 10:30:00,30.13,71.45,5.720000000000027,1850.555,52.4262
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,298.83000000000004,0.0674948557716008,0.0045555555556292,309.06000000000006,0.051639777950626,0.0026666666667899,1569.0,156.36993175017912,24451.555555555675,38.55,10.31775707753924,106.45611111111108,166.0,7.055336829505552,49.77777777777745,2024-01-01 10:40:00,33.15,82.0,2.800000000000068,3165.2000000000003,58.6755
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,298.85,0.0849836585603339,0.0072222222222994,309.06,0.051639777950626,0.0026666666667899,1557.2,165.34395127195418,27338.62222222236,38.99,10.511628481511954,110.49433333333327,168.3,7.180993431738121,51.56666666666604,2024-01-01 10:50:00,33.96,66.04,1.990000000000066,2978.4040000000005,60.7884
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,298.86,0.0843274042716271,0.0071111111111904,309.04,0.0699205898789237,0.0048888888890166,1577.4,166.7900876351273,27818.93333333344,37.62,10.90329206147289,118.88177777777774,170.6,7.1987653262362485,51.822222222221285,2024-01-01 11:00:00,32.62,69.05,3.1299999999999955,1981.735,59.042199999999994
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,298.86,0.0843274042716271,0.0071111111111904,309.02,0.0788810637754965,0.0062222222223539,1572.7,169.44750088318114,28712.45555555567,38.0,11.071986673081252,122.58888888888886,173.0,7.2724747430903935,52.88888888888769,2024-01-01 11:10:00,34.23,76.38,1.5199999999999818,3368.3579999999997,62.9832
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,298.86,0.0843274042716271,0.0071111111111904,309.01,0.0875595035778612,0.0076666666668014,1559.3,166.96909228290698,27878.67777777791,38.29,10.860576002731673,117.95211111111108,175.7,7.73232752079782,59.78888888888736,2024-01-01 11:20:00,33.27,68.16,2.480000000000018,2208.384,62.880300000000005
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,298.87,0.0823272602353516,0.0067777777778593,309.0,0.0816496580936093,0.0066666666668033,1562.5,163.37635487834052,26691.833333333463,39.42,13.083390658048511,171.17511111111108,178.3,8.097324661063361,65.56666666666487,2024-01-01 11:30:00,31.76,80.6,4.090000000000032,5295.42,60.6616
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,298.88,0.0788810637751928,0.006222222222306,308.98999999999995,0.0737864787382,0.0054444444445828,1615.6,186.78044151712828,34886.93333333338,36.42,13.164666514744855,173.3084444444445,180.9,8.23879710745299,67.87777777777576,2024-01-01 11:40:00,33.27,92.31,2.580000000000041,2086.206,64.2111
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,298.89,0.07378647873785,0.0054444444445312,309.0,0.0816496580936015,0.006666666666802,1601.6,193.8585968059081,37581.155555555626,37.15,13.473121390383152,181.52500000000003,183.6,8.329332372872125,69.37777777777559,2024-01-01 11:50:00,35.03,86.18,0.9200000000000728,3921.1900000000005,68.6588
