UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air_temperature_K_roll_mean,Air_temperature_K_roll_std,Air_temperature_K_roll_var,Process_temperature_K_roll_mean,Process_temperature_K_roll_std,Process_temperature_K_roll_var,Rotational_speed_rpm_roll_mean,Rotational_speed_rpm_roll_std,Rotational_speed_rpm_roll_var,Torque_Nm_roll_mean,Torque_Nm_roll_std,Torque_Nm_roll_var,Tool_wear_min_roll_mean,Tool_wear_min_roll_std,Tool_wear_min_roll_var
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.22,0.13984117975601654,0.01955555555555453,308.69,0.15238839267550974,0.023222222222225353,1544.7,140.10000396542162,19628.01111111115,38.019999999999996,8.377721779948432,70.18622222222233,12.8,6.988880056521535,48.84444444444445
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.26,0.1837873166945515,0.033777777777783374,308.72999999999996,0.20027758514402857,0.040111111111123615,1546.2,138.5454598478221,19194.844444444483,37.82,8.179622376505062,66.90622222222233,15.4,7.734482673212361,59.82222222222223
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.31,0.20248456731320144,0.04100000000001441,308.79,0.2131770260709857,0.045444444444469725,1530.3,153.0555817705161,23426.011111111147,37.989999999999995,8.459898869897264,71.56988888888901,18.3,8.769264507357503,76.90000000000002
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.35,0.2173067468401398,0.047222222222244606,308.85,0.23687784005927653,0.05611111111114819,1561.2,162.15068437858804,26292.84444444448,37.04,8.798131114680618,77.40711111111123,21.3,9.569047322835575,91.56666666666669
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.39,0.22335820757008182,0.04988888888891975,308.9,0.2538591035288872,0.06444444444449027,1623.9,210.3803169922933,44259.877777777816,35.0,10.276402310363514,105.60444444444455,24.4,10.145606602531629,102.93333333333337
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.44,0.20655911179782582,0.04266666666670671,308.96,0.24585451886126286,0.06044444444450306,1635.6,201.14019433663134,40457.37777777782,35.65,10.94514098178325,119.7961111111112,27.5,10.330644811541159,106.72222222222227
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.49,0.17288403306534178,0.02988888888893819,309.02,0.22010098692308874,0.04844444444451768,1610.9,225.42771691953854,50817.6555555556,36.07,11.30752453506563,127.86011111111121,30.5,10.33064481154116,106.7222222222223
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.55000000000007,0.11785113019799526,0.01388888888894483,309.08000000000004,0.16865480854259585,0.028444444444539665,1599.2,233.16937096358862,54367.95555555561,36.61,11.650412486736734,135.7321111111112,33.6,10.145606602531632,102.93333333333345
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.6,0.10540925533923995,0.011111111111173086,309.13,0.10593499054767433,0.01122222222233585,1563.1,248.9196434371722,61960.98888888894,39.2,12.51843085658547,156.7111111111112,36.8,9.715966241192904,94.40000000000015
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.64,0.13498971154234193,0.018222222222284683,309.16,0.10749676997789263,0.011555555555679959,1552.2,242.56948603555975,58839.955555555614,39.65,12.146444381427479,147.53611111111118,40.2,9.51957048517539,90.6222222222224
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.69,0.12866839377104017,0.016555555555619446,309.2,0.06666666666767808,0.004444444444579299,1511.5,233.71076616669222,54620.722222222284,41.53,10.82035633013586,117.08011111111117,43.6,9.15544768005489,83.82222222222245
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.71,0.12866839377105413,0.016555555555623044,309.22,0.06324555320447693,0.004000000000140323,1514.2,232.72864504014603,54162.622222222286,41.58,10.835722813402386,117.41288888888893,47.0,9.439868172337546,89.11111111111138
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.74,0.13498971154238304,0.01822222222229578,309.23999999999995,0.051639777950837615,0.002666666666811815,1538.4,224.93811494621278,50597.155555555626,39.540000000000006,10.764365079072505,115.87155555555562,50.1,9.780365819106967,95.65555555555588
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.78000000000003,0.14757295747481386,0.021777777777863223,309.26,0.06992058987906662,0.0048888888890366335,1540.0,226.59802882343604,51346.666666666744,39.11,11.262173660335542,126.83655555555563,53.2,10.07527225990005,101.51111111111148
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.82,0.14757295747485838,0.02177777777787636,309.28000000000003,0.07888106377561309,0.0062222222223723405,1492.6,147.2218280917158,21674.26666666672,40.88,9.023647944275213,81.4262222222223,56.2,10.174041041351833,103.5111111111115
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.86,0.13498971154251693,0.01822222222233193,309.31,0.09944289260196312,0.009888888889045572,1524.5,188.02201407754845,35352.27777777783,38.37,10.123355833582728,102.48233333333347,59.3,10.08904796741939,101.78888888888932
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,298.90999999999997,0.11972189997429525,0.014333333333455156,309.34000000000003,0.10749676997808093,0.011555555555720442,1544.6,172.78901714068664,29856.0444444445,37.61,9.713844644515266,94.35877777777793,62.4,9.617114374327121,92.48888888888933
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,298.95,0.10801234497406621,0.011666666666796686,309.36,0.09660917830881412,0.00933333333350424,1584.7,184.23297448852352,33941.78888888896,35.51,10.058434824122056,101.1721111111113,65.4,8.934328302800532,79.82222222222263
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,298.98,0.10327955589952402,0.010666666666802906,309.38,0.07888106377578252,0.006222222222399069,1598.0,165.75148734040255,27473.555555555628,34.480000000000004,8.265295585223274,68.31511111111134,68.6,8.52708104283708,72.7111111111115
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,298.99,0.09944289260186974,0.009888888889027,309.39,0.07378647873848046,0.0054444444446242295,1604.1,168.24548863028843,28306.544444444517,34.239999999999995,8.363438952435258,69.94711111111135,71.5,8.316649966583121,69.16666666666703
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.01,0.09944289260189387,0.0098888888890318,309.40999999999997,0.07378647873852112,0.00544444444463023,1600.5,173.97972423372937,30268.94444444452,34.79,9.127546828754774,83.31211111111134,74.3,7.97287066662109,63.56666666666703
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.03000000000003,0.06749485577215918,0.0045555555557045685,309.41999999999996,0.063245553204866,0.004000000000189536,1635.3,175.3301964231429,30740.677777777873,32.86,8.810751008474455,77.6293333333336,76.9,8.116512661098863,65.87777777777814
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,0.05163977795089614,0.002666666666817859,309.43,0.04830458915596634,0.0023333333335267006,1619.1,187.93583420353303,35319.87777777786,34.62,10.007863574876186,100.15733333333355,79.5,8.045012257431468,64.72222222222257
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.03000000000003,0.0674948557721482,0.004555555555703087,309.41999999999996,0.063245553204866,0.004000000000189536,1609.8,182.52171864678968,33314.177777777855,35.3,9.555219632338256,91.30222222222243,82.0,7.958224257542237,63.333333333333684
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,299.01000000000005,0.09944289260187436,0.00988888888902792,309.39,0.11972189997453168,0.01433333333351177,1609.6,182.58221892250828,33336.26666666674,35.04,9.530092689300922,90.82266666666688,84.5,7.691987172809575,59.166666666667034
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.99,0.11972189997432628,0.014333333333462588,309.36,0.12649110640740485,0.016000000000169413,1568.7,164.9693911002888,27214.900000000038,37.57000000000001,9.424795901120508,88.8267777777779,87.0,7.601169500660944,57.777777777778155
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.97,0.11595018087335567,0.013444444444563892,309.33,0.12516655570409094,0.015666666666825303,1575.6,163.77301364999073,26821.600000000046,37.34,9.414079290556726,88.62488888888903,89.6,7.4862837539359175,56.04444444444485
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.93999999999994,0.11737877907817829,0.013777777777883783,309.3,0.14142135623782728,0.02000000000014645,1538.4,145.60311351982378,21200.26666666669,38.8,8.282914140969154,68.60666666666678,92.3,7.3037281195595485,53.34444444444486
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.91999999999996,0.10327955589933865,0.010666666666764617,309.28000000000003,0.1398411797565225,0.019555555555696033,1532.4,151.27987308297168,22885.600000000017,39.45,8.979513721057883,80.63166666666679,94.7,7.484057129065192,56.01111111111153
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.9,0.1054092553393766,0.011111111111201895,309.25,0.14337208778450503,0.02055555555568782,1498.1,149.69706447058707,22409.2111111111,41.690000000000005,9.1796211492874,84.26544444444451,97.4,8.044321668799151,64.71111111111155
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.87,0.08232726023534595,0.0067777777778583745,309.21,0.11972189997429943,0.014333333333456155,1500.4,147.13576497008918,21648.933333333327,41.410000000000004,8.99993209850929,80.99877777777785,100.1,8.319321553534976,69.2111111111116
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.85,0.0707106781191911,0.005000000000075851,309.18,0.10327955589943955,0.010666666666785457,1457.4,108.17393401369834,11701.599999999962,43.940000000000005,7.453738808290925,55.55822222222222,102.7,8.525126261691279,72.67777777777832
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.83000000000004,0.04830458915471319,0.002333333333405635,309.15,0.07071067811948062,0.0050000000001167956,1452.3,111.34136697562124,12396.89999999996,44.019999999999996,7.509815798895026,56.397333333333336,105.3,8.525126261691282,72.67777777777839
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.82,0.04216370213642023,0.0017777777778487673,309.14,0.051639777950553835,0.002666666666782506,1423.0,84.45511628472609,7132.666666666606,45.62,6.40603881765739,41.0373333333333,108.0,8.472176684759267,71.77777777777852
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.82,0.04216370213642023,0.0017777777778487673,309.14000000000004,0.051639777950553835,0.002666666666782506,1414.3,72.52746606171529,5260.2333333332635,46.9,5.134199061197369,26.359999999999946,111.0,8.666666666666721,75.11111111111205
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.82000000000005,0.04216370213642023,0.0017777777778487673,309.13,0.048304589155161844,0.002333333333448979,1418.0,75.54542415733096,5707.111111111043,46.95,5.154986798129442,26.573888888888835,114.0,8.856886837057678,78.44444444444557
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.8,0.047140452079823585,0.0022222222222901436,309.11,0.05676462122077335,0.0032222222223378724,1444.2,148.53192698316843,22061.733333333275,45.86,7.955040330926463,63.2826666666666,116.9,8.875058685252057,78.76666666666796
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.8,0.047140452079823585,0.0022222222222901436,309.11,0.05676462122077335,0.0032222222223378724,1442.1,148.76189028107953,22130.09999999994,46.57000000000001,7.603661398738545,57.8156666666666,119.8,8.929352346801796,79.73333333333474
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.79,0.03162277660273085,0.0010000000000662218,309.11,0.05676462122077335,0.0032222222223378724,1446.7,147.29792183794623,21696.67777777772,46.89,7.85980633066461,61.77655555555548,122.7,8.65447860936761,74.90000000000151
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.8,0.047140452079823585,0.0022222222222901436,309.12,0.06324555320427763,0.004000000000115112,1452.9,144.04432188276846,20748.76666666661,46.05,7.639408063165331,58.36055555555548,125.6,9.143303560530054,83.60000000000157
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.81,0.056764621220368634,0.0032222222222919247,309.12,0.06324555320427763,0.004000000000115112,1602.8,463.86319822407404,215169.06666666662,41.97,15.18940054409287,230.71788888888875,128.6,9.46572765295947,89.6000000000016
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.82,0.06324555320393785,0.004000000000072133,309.12,0.06324555320427763,0.004000000000115112,1604.3,463.04308654810944,214408.89999999997,42.379999999999995,15.506256801691372,240.4439999999999,131.6,9.430447143870483,88.93333333333494
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.82,0.06324555320393786,0.004000000000072134,309.11,0.07378647873804302,0.0054444444445596735,1617.2,457.4921492951181,209299.06666666662,41.85,15.340740964286349,235.33833333333325,134.6,9.033271832509062,81.60000000000161
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.81000000000006,0.07378647873773551,0.005444444444514295,309.09000000000003,0.07378647873805114,0.005444444444560873,1636.5,450.0084567106613,202507.6111111111,40.510000000000005,15.280448655426026,233.49211111111103,137.8,8.954204474869856,80.17777777777935
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.8,0.08164965809318175,0.00666666666673348,309.08000000000004,0.07888106377540291,0.00622222222233918,1658.4,446.42809549180976,199298.04444444441,38.77,15.386361204362487,236.74011111111102,140.7,9.043720964784928,81.78888888889041
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.8,0.08164965809318175,0.00666666666673348,309.08000000000004,0.07888106377540291,0.00622222222233918,1660.7,445.51669129475073,198485.1222222222,37.93,14.983772703976937,224.51344444444436,143.5,9.009254501159795,81.16666666666802
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.81,0.07378647873773551,0.005444444444514296,309.09000000000003,0.07378647873804682,0.005444444444560235,1624.1,443.90726008430585,197053.65555555557,39.589999999999996,14.398722937199052,207.3232222222221,146.3,8.692908987598333,75.56666666666787
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.81,0.07378647873773551,0.005444444444514296,309.09000000000003,0.07378647873804682,0.005444444444560235,1633.6,440.0058585468557,193605.15555555557,38.99,14.211845606941958,201.97655555555545,149.0,8.286535263104101,68.66666666666775
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,298.81,0.07378647873773551,0.005444444444514296,309.07000000000005,0.0674948557719486,0.0045555555556761424,1657.2,433.86039741424247,188234.84444444443,36.55,13.441250768519355,180.66722222222216,151.7,7.5872700404471916,57.56666666666753
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,298.8,0.06666666666717719,0.004444444444512514,309.06,0.05163977795062607,0.0026666666667899664,1653.8,436.1227655909132,190203.06666666665,37.58,14.44151423270196,208.55733333333328,154.2,7.420691791650375,55.06666666666726
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,298.79,0.056764621220339276,0.0032222222222885923,309.06000000000006,0.05163977795062607,0.0026666666667899664,1507.0,109.04127658827275,11890.0000000002,42.38,9.336523264399151,87.17066666666659,156.6,7.2755297630711215,52.933333333333735
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,298.78,0.04216370213634625,0.0017777777778425297,309.05,0.052704627670659705,0.0027777777779028684,1527.9,102.46457382378097,10498.98888888906,40.709999999999994,8.282303758952304,68.59655555555548,159.0,6.97614984548547,48.66666666666694
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,298.78000000000003,0.04216370213634625,0.0017777777778425297,309.05,0.052704627670659705,0.0027777777779028684,1561.1,138.71429470518055,19241.655555555684,38.620000000000005,9.895767894520475,97.92622222222218,161.5,6.670832032063175,44.50000000000011
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,298.80000000000007,0.04714045207982784,0.0022222222222905447,309.05,0.052704627670659705,0.0027777777779028684,1585.8,159.86438697290373,25556.622222222315,37.7,10.657704568370557,113.58666666666664,163.7,6.815831244650609,46.45555555555547
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,298.83000000000004,0.06749485577160089,0.004555555555629206,309.06000000000006,0.05163977795062607,0.0026666666667899664,1569.0,156.36993175017912,24451.555555555675,38.55,10.31775707753924,106.45611111111107,166.0,7.055336829505552,49.77777777777745
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,298.85,0.08498365856033395,0.007222222222299421,309.06,0.05163977795062607,0.0026666666667899664,1557.2,165.34395127195418,27338.622222222362,38.989999999999995,10.511628481511954,110.49433333333329,168.3,7.180993431738121,51.56666666666604
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,298.86,0.08432740427162712,0.007111111111190435,309.04,0.06992058987892373,0.004888888889016652,1577.4,166.7900876351273,27818.93333333344,37.62,10.90329206147289,118.88177777777774,170.6,7.1987653262362485,51.822222222221285
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,298.86,0.08432740427162712,0.007111111111190435,309.02,0.07888106377549658,0.00622222222235396,1572.7,169.44750088318114,28712.45555555567,38.0,11.071986673081252,122.58888888888886,173.0,7.2724747430903935,52.88888888888769
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,298.86,0.08432740427162712,0.007111111111190435,309.01,0.08755950357786121,0.00766666666680149,1559.3,166.96909228290698,27878.67777777791,38.29,10.860576002731673,117.95211111111108,175.7,7.73232752079782,59.788888888887364
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,298.87,0.08232726023535161,0.006777777777859308,309.0,0.08164965809360936,0.006666666666803309,1562.5,163.37635487834052,26691.833333333463,39.42,13.083390658048511,171.17511111111108,178.3,8.097324661063361,65.56666666666487
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,298.88,0.07888106377519284,0.00622222222230604,308.98999999999995,0.07378647873820009,0.005444444444582853,1615.6,186.78044151712828,34886.93333333338,36.42,13.164666514744857,173.3084444444445,180.9,8.23879710745299,67.87777777777576
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,298.89,0.07378647873785006,0.0054444444445312,309.0,0.08164965809360158,0.006666666666802038,1601.6,193.85859680590806,37581.155555555626,37.15,13.473121390383152,181.52500000000003,183.6,8.329332372872125,69.37777777777559
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,298.9,0.06666666666733997,0.004444444444534219,309.01,0.08755950357784709,0.007666666666799018,1555.6,188.4033498168819,35495.82222222237,39.3,12.635927614016577,159.66666666666666,186.2,8.363943780033033,69.95555555555325
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,298.90999999999997,0.07378647873789074,0.005444444444537201,309.02000000000004,0.09189365834797157,0.008444444444573726,1533.6,166.73545247220608,27800.711111111294,40.21,11.868019585798166,140.84988888888887,188.8,8.18942407417422,67.06666666666428
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,298.9,0.06666666666733997,0.004444444444534219,309.01,0.08755950357784709,0.007666666666799018,1541.4,168.0041004790596,28225.377777777947,39.58,12.127361167578414,147.07288888888888,191.3,8.000694414306091,64.01111111110868
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,298.88,0.06324555320403011,0.004000000000083804,308.99,0.08755950357788461,0.007666666666805587,1539.9,169.52643189518054,28739.211111111283,39.739999999999995,12.218492360170936,149.29155555555553,193.8,7.627435858647077,58.17777777777527
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,298.87,0.06749485577165494,0.004555555555636503,308.98999999999995,0.08755950357788461,0.007666666666805587,1518.1,163.56340938268895,26752.988888889096,41.660000000000004,11.79201236242379,139.0515555555555,196.3,7.040359839288337,49.566666666664105
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,298.87,0.06749485577165494,0.004555555555636503,308.99,0.08755950357788461,0.007666666666805587,1517.0,163.98915953331993,26892.444444444656,41.38,11.760838972340931,138.3173333333333,198.7,6.4472216238209175,41.56666666666403
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,298.87,0.06749485577165494,0.004555555555636503,308.99,0.08755950357788461,0.007666666666805587,1504.1,168.1364855638954,28269.877777778012,43.290000000000006,11.691160003276925,136.68322222222213,179.8,63.41188111597593,4021.066666666665
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,298.86,0.06992058987857318,0.0048888888889676305,308.98,0.09189365834804306,0.008444444444586863,1503.3,168.6522062312465,28443.566666666906,40.510000000000005,8.690409784482096,75.52322222222216,160.9,84.39648491890325,7122.7666666666655
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,298.85,0.07071067811919651,0.005000000000076617,308.96,0.10749676997800396,0.011555555555703893,1455.4,81.28031058558538,6606.488888889224,43.239999999999995,6.434145026514566,41.398222222222124,142.0,96.67816023625328,9346.666666666664
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,298.85,0.07071067811919651,0.005000000000076617,308.94,0.09660917830873124,0.009333333333488226,1455.2,81.29206603353327,6608.400000000335,43.44,6.542374696290833,42.80266666666656,123.3,102.95419693566001,10599.566666666666
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,298.85,0.07071067811919651,0.005000000000076617,308.91999999999996,0.0788810637756827,0.006222222222383321,1463.6,75.53100908457166,5704.933333333646,43.08,6.582603335054192,43.33066666666657,104.6,104.8440111149257,10992.266666666665
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,298.85,0.07071067811919651,0.005000000000076617,308.90999999999997,0.05676462122119004,0.0032222222223851783,1451.3,60.89526527845726,3708.2333333336824,43.589999999999996,6.064184473887089,36.774333333333225,85.9,102.59028544002918,10524.766666666663
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,298.85,0.07071067811919651,0.005000000000076617,308.9,0.0471404520808636,0.002222222222388197,1433.4,30.945112699752784,957.600000000401,45.12,4.66876143461338,21.797333333333185,67.2,95.9013381901768,9197.066666666664
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,298.87,0.0823272602353506,0.00677777777785914,308.90999999999997,0.05676462122119004,0.0032222222223851783,1475.9,117.82326689674883,13882.32222222251,43.13,7.376396289667611,54.41122222222211,48.5,83.72076604204398,7009.166666666663
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,298.89,0.08755950357757895,0.007666666666752062,308.91999999999996,0.06324555320463159,0.004000000000159885,1473.4,118.4381695231748,14027.600000000295,42.73,7.195222180184718,51.77122222222212,29.9,62.91873065047215,3958.7666666666637
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,298.90999999999997,0.0875595035775995,0.007666666666755661,308.93,0.06749485577221294,0.004555555555711827,1482.3,120.23222899409777,14455.788888889163,41.779999999999994,7.988436086688746,63.81511111111101,11.6,8.058122196475447,64.93333333333028
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,298.92999999999995,0.08232726023542608,0.006777777777871568,308.94,0.06992058987910037,0.004888888889041354,1484.4,118.77074087875833,14106.488888889156,41.15,7.3604423176267755,54.17611111111101,14.3,8.260347046785038,68.2333333333303
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,298.94,0.0699205898787002,0.004888888888985392,308.93999999999994,0.06992058987910037,0.004888888889041354,1492.9,115.20652952174497,13272.544444444695,41.31,7.299079089553384,53.27655555555546,17.1,8.37257427557361,70.09999999999695
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,298.95,0.052704627670420404,0.002777777777877644,308.95,0.05270462767088899,0.002777777777927037,1523.7,139.57240255708055,19480.45555555574,38.9,8.084140853135434,65.3533333333333,20.0,8.353309390760929,69.77777777777472
