UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air_temperature_rolling_mean,Air_temperature_rolling_std,Process_temperature_rolling_mean,Process_temperature_rolling_std,Rotational_speed_rolling_mean,Rotational_speed_rolling_std,Torque_rolling_mean,Torque_rolling_std,Tool_wear_rolling_mean,Tool_wear_rolling_std,Air_temperature_roc,Process_temperature_roc,Rotational_speed_roc,Torque_roc,Tool_wear_roc,power_proxy,temp_delta
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.86,0.13498971154251693,309.31,0.09944289260196312,1524.5,188.02201407754845,38.37,10.123355833582728,59.3,10.08904796741939,0.0,0.10000000000002274,300.0,-13.999999999999996,3.0,43361.3,10.5
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,298.90999999999997,0.11972189997429525,309.34000000000003,0.10749676997808093,1544.6,172.78901714068664,37.61,9.713844644515266,62.4,9.617114374327121,0.10000000000002274,0.0,-349.0,15.7,2.0,58968.0,10.399999999999977
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,298.95,0.10801234497406621,309.36,0.09660917830881412,1584.7,184.23297448852352,35.51,10.058434824122056,65.4,8.934328302800532,0.0,-0.10000000000002274,299.0,-14.399999999999999,2.0,44550.600000000006,10.299999999999955
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,298.98,0.10327955589952402,309.38,0.07888106377578252,1598.0,165.75148734040255,34.480000000000004,8.265295585223274,68.6,8.52708104283708,0.0,0.0,-372.0,19.6,5.0,63603.8,10.299999999999955
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,298.99,0.09944289260186974,309.39,0.07378647873848046,1604.1,168.24548863028843,34.239999999999995,8.363438952435258,71.5,8.316649966583121,-0.10000000000002274,0.0,254.0,-14.100000000000001,2.0,50959.3,10.399999999999977
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.01,0.09944289260189387,309.40999999999997,0.07378647873852112,1600.5,173.97972423372937,34.79,9.127546828754774,74.3,7.97287066662109,0.10000000000002274,0.10000000000002274,-354.0,18.1,2.0,64539.8,10.399999999999977
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.03000000000003,0.06749485577215918,309.41999999999996,0.063245553204866,1635.3,175.3301964231429,32.86,8.810751008474455,76.9,8.116512661098863,-0.10000000000002274,-0.10000000000002274,459.0,-22.700000000000003,3.0,45849.0,10.399999999999977
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,0.05163977795089614,309.43,0.04830458915596634,1619.1,187.93583420353303,34.62,10.007863574876186,79.5,8.045012257431468,0.0,0.0,-379.0,22.799999999999997,2.0,68537.7,10.399999999999977
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.03000000000003,0.0674948557721482,309.41999999999996,0.063245553204866,1609.8,182.52171864678968,35.3,9.555219632338256,82.0,7.958224257542237,-0.10000000000002274,-0.0999999999999659,246.0,-15.799999999999997,2.0,54112.5,10.400000000000034
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,299.01000000000005,0.09944289260187436,309.39,0.11972189997453168,1609.6,182.58221892250828,35.04,9.530092689300922,84.5,7.691987172809575,-0.0999999999999659,-0.19999999999998863,-106.0,2.200000000000003,2.0,54097.3,10.300000000000011
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.99,0.11972189997432628,309.36,0.12649110640740485,1568.7,164.9693911002888,37.57000000000001,9.424795901120508,87.0,7.601169500660944,0.0,0.0999999999999659,-107.0,13.899999999999999,3.0,70567.2,10.399999999999977
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.97,0.11595018087335567,309.33,0.12516655570409094,1575.6,163.77301364999073,37.34,9.414079290556726,89.6,7.4862837539359175,0.0999999999999659,0.0,129.0,-11.899999999999999,3.0,58022.700000000004,10.300000000000011
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.93999999999994,0.11737877907817829,309.3,0.14142135623782728,1538.4,145.60311351982378,38.8,8.282914140969154,92.3,7.3037281195595485,-0.0999999999999659,-0.0999999999999659,-142.0,2.5,3.0,56408.8,10.300000000000011
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.91999999999996,0.10327955589933865,309.28000000000003,0.1398411797565225,1532.4,151.27987308297168,39.45,8.979513721057883,94.7,7.484057129065192,0.0999999999999659,0.0999999999999659,-60.0,11.5,2.0,69915.3,10.300000000000011
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.9,0.1054092553393766,309.25,0.14337208778450503,1498.1,149.69706447058707,41.690000000000005,9.1796211492874,97.4,8.044321668799151,-0.0999999999999659,-0.0999999999999659,-29.0,1.7999999999999972,5.0,70875.0,10.300000000000011
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.87,0.08232726023534595,309.21,0.11972189997429943,1500.4,147.13576497008918,41.410000000000004,8.99993209850929,100.1,8.319321553534976,0.0,0.0,12.0,-7.100000000000001,2.0,61834.799999999996,10.300000000000011
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.85,0.0707106781191911,309.18,0.10327955589943955,1457.4,108.17393401369834,43.940000000000005,7.453738808290925,102.7,8.525126261691279,0.0,0.0,6.0,5.399999999999999,2.0,69494.4,10.300000000000011
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.83000000000004,0.04830458915471319,309.15,0.07071067811948062,1452.3,111.34136697562124,44.019999999999996,7.509815798895026,105.3,8.525126261691282,0.0,0.0,0.0,-1.6999999999999957,2.0,67168.8,10.300000000000011
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.82,0.04216370213642023,309.14,0.051639777950553835,1423.0,84.45511628472609,45.62,6.40603881765739,108.0,8.472176684759267,0.0,0.0999999999999659,4.0,-0.6000000000000014,3.0,66542.0,10.399999999999977
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.82,0.04216370213642023,309.14000000000004,0.051639777950553835,1414.3,72.52746606171529,46.9,5.134199061197369,111.0,8.666666666666721,0.0,-0.0999999999999659,100.0,-1.0,5.0,69920.0,10.300000000000011
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.82000000000005,0.04216370213642023,309.13,0.048304589155161844,1418.0,75.54542415733096,46.95,5.154986798129442,114.0,8.856886837057678,0.0,0.0,17.0,1.6000000000000014,3.0,73109.90000000001,10.300000000000011
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.8,0.047140452079823585,309.11,0.05676462122077335,1444.2,148.53192698316843,45.86,7.955040330926463,116.9,8.875058685252057,-0.10000000000002274,-0.10000000000002274,354.0,-23.3,2.0,47549.4,10.300000000000011
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.8,0.047140452079823585,309.11,0.05676462122077335,1442.1,148.76189028107953,46.57000000000001,7.603661398738545,119.8,8.929352346801796,0.10000000000002274,0.10000000000002274,-425.0,20.499999999999996,3.0,65653.4,10.300000000000011
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.79,0.03162277660273085,309.11,0.05676462122077335,1446.7,147.29792183794623,46.89,7.85980633066461,122.7,8.65447860936761,0.0,0.0999999999999659,7.0,7.600000000000001,2.0,76807.5,10.399999999999977
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.8,0.047140452079823585,309.12,0.06324555320427763,1452.9,144.04432188276846,46.05,7.639408063165331,125.6,9.143303560530054,0.0999999999999659,0.0,-13.0,-9.799999999999997,5.0,62269.200000000004,10.300000000000011
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.81,0.056764621220368634,309.12,0.06324555320427763,1602.8,463.86319822407404,41.97,15.18940054409287,128.6,9.46572765295947,0.0,-0.0999999999999659,1449.0,-39.5,3.0,13160.599999999999,10.200000000000045
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.82,0.06324555320393785,309.12,0.06324555320427763,1604.3,463.04308654810944,42.379999999999995,15.506256801691372,131.6,9.430447143870483,0.0,0.0,-1478.0,50.3,2.0,75926.7,10.200000000000045
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.82,0.06324555320393786,309.11,0.07378647873804302,1617.2,457.4921492951181,41.85,15.340740964286349,134.6,9.033271832509062,-0.0999999999999659,-0.10000000000002274,114.0,-11.100000000000001,2.0,65568.59999999999,10.199999999999989
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.81000000000006,0.07378647873773551,309.09000000000003,0.07378647873805114,1636.5,450.0084567106613,40.510000000000005,15.280448655426026,137.8,8.954204474869856,-0.10000000000002274,0.0,68.0,-8.699999999999996,5.0,54931.5,10.300000000000011
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.8,0.08164965809318175,309.08000000000004,0.07888106377540291,1658.4,446.42809549180976,38.77,15.386361204362487,140.7,9.043720964784928,0.0,0.0,126.0,-5.0,2.0,50899.100000000006,10.300000000000011
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.8,0.08164965809318175,309.08000000000004,0.07888106377540291,1660.7,445.51669129475073,37.93,14.983772703976937,143.5,9.009254501159795,0.10000000000002274,0.10000000000002274,-179.0,10.600000000000001,2.0,61538.4,10.300000000000011
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.81,0.07378647873773551,309.09000000000003,0.07378647873804682,1624.1,443.90726008430585,39.589999999999996,14.398722937199052,146.3,8.692908987598333,0.0,0.0,-35.0,1.6999999999999957,2.0,62624.799999999996,10.300000000000011
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.81,0.07378647873773551,309.09000000000003,0.07378647873804682,1633.6,440.0058585468557,38.99,14.211845606941958,149.0,8.286535263104101,0.0,0.0,36.0,-2.1000000000000014,2.0,60973.899999999994,10.300000000000011
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,298.81,0.07378647873773551,309.07000000000005,0.0674948557719486,1657.2,433.86039741424247,36.55,13.441250768519355,151.7,7.5872700404471916,0.0,-0.10000000000002274,148.0,-10.799999999999997,2.0,48999.5,10.199999999999989
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,298.8,0.06666666666717719,309.06,0.05163977795062607,1653.8,436.1227655909132,37.58,14.44151423270196,154.2,7.420691791650375,0.0,0.10000000000002274,-283.0,24.9,3.0,74963.2,10.300000000000011
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,298.79,0.056764621220339276,309.06000000000006,0.05163977795062607,1507.0,109.04127658827275,42.38,9.336523264399151,156.6,7.2755297630711215,0.0,0.0,15.0,-1.7999999999999972,2.0,73271.8,10.300000000000011
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,298.78,0.04216370213634625,309.05,0.052704627670659705,1527.9,102.46457382378097,40.709999999999994,8.282303758952304,159.0,6.97614984548547,0.0,-0.10000000000002274,199.0,-14.399999999999999,2.0,60814.4,10.199999999999989
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,298.78000000000003,0.04216370213634625,309.05,0.052704627670659705,1561.1,138.71429470518055,38.620000000000005,9.895767894520475,161.5,6.670832032063175,0.0,0.0,237.0,-15.300000000000004,3.0,41884.1,10.199999999999989
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,298.80000000000007,0.04714045207982784,309.05,0.052704627670659705,1585.8,159.86438697290373,37.7,10.657704568370557,163.7,6.815831244650609,0.0999999999999659,0.0,-17.0,3.0,2.0,46930.799999999996,10.100000000000023
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,298.83000000000004,0.06749485577160089,309.06000000000006,0.05163977795062607,1569.0,156.36993175017912,38.55,10.31775707753924,166.0,7.055336829505552,0.10000000000002274,0.10000000000002274,-289.0,12.700000000000003,3.0,58787.8,10.100000000000023
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,298.85,0.08498365856033395,309.06,0.05163977795062607,1557.2,165.34395127195418,38.989999999999995,10.511628481511954,168.3,7.180993431738121,0.0,0.0,-129.0,6.5,2.0,62869.4,10.100000000000023
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,298.86,0.08432740427162712,309.04,0.06992058987892373,1577.4,166.7900876351273,37.62,10.90329206147289,170.6,7.1987653262362485,-0.10000000000002274,-0.20000000000004547,285.0,-16.400000000000002,2.0,48187.299999999996,10.0
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,298.86,0.08432740427162712,309.02,0.07888106377549658,1572.7,169.44750088318114,38.0,11.071986673081252,173.0,7.2724747430903935,-0.0999999999999659,0.0,-213.0,15.400000000000002,3.0,64650.6,10.099999999999966
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,298.86,0.08432740427162712,309.01,0.08755950357786121,1559.3,166.96909228290698,38.29,10.860576002731673,175.7,7.73232752079782,0.0,0.0,61.0,-11.700000000000003,5.0,49474.799999999996,10.099999999999966
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,298.87,0.08232726023535161,309.0,0.08164965809360936,1562.5,163.37635487834052,39.42,13.083390658048511,178.3,8.097324661063361,0.0999999999999659,0.10000000000002274,-117.0,33.300000000000004,2.0,92637.0,10.100000000000023
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,298.88,0.07888106377519284,308.98999999999995,0.07378647873820009,1615.6,186.78044151712828,36.42,13.164666514744857,180.9,8.23879710745299,0.0,0.0,514.0,-43.1,2.0,43482.4,10.100000000000023
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,298.89,0.07378647873785006,309.0,0.08164965809360158,1601.6,193.85859680590806,37.15,13.473121390383152,183.6,8.329332372872125,0.0,0.10000000000002274,-472.0,22.9,3.0,66066.0,10.200000000000045
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,298.9,0.06666666666733997,309.01,0.08755950357784709,1555.6,188.4033498168819,39.3,12.635927614016577,186.2,8.363943780033033,0.0,0.0,-83.0,-1.1000000000000014,2.0,60783.6,10.200000000000045
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,298.90999999999997,0.07378647873789074,309.02000000000004,0.09189365834797157,1533.6,166.73545247220608,40.21,11.868019585798166,188.8,8.18942407417422,0.10000000000002274,0.0,223.0,-9.399999999999999,2.0,55720.0,10.100000000000023
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,298.9,0.06666666666733997,309.01,0.08755950357784709,1541.4,168.0041004790596,39.58,12.127361167578414,191.3,8.000694414306091,-0.10000000000002274,-0.10000000000002274,9.0,-2.700000000000003,2.0,51712.299999999996,10.100000000000023
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,298.88,0.06324555320403011,308.99,0.08755950357788461,1539.9,169.52643189518054,39.739999999999995,12.218492360170936,193.8,7.627435858647077,-0.0999999999999659,-0.10000000000002274,-222.0,14.400000000000006,2.0,64399.3,10.099999999999966
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,298.87,0.06749485577165494,308.98999999999995,0.08755950357788461,1518.1,163.56340938268895,41.660000000000004,11.79201236242379,196.3,7.040359839288337,0.0,0.0,82.0,1.1999999999999957,2.0,69981.9,10.099999999999966
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,298.87,0.06749485577165494,308.99,0.08755950357788461,1517.0,163.98915953331993,41.38,11.760838972340931,198.7,6.4472216238209175,0.0,0.0,-6.0,-6.600000000000001,2.0,60091.49999999999,10.099999999999966
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,298.87,0.06749485577165494,308.99,0.08755950357788461,1504.1,168.1364855638954,43.290000000000006,11.691160003276925,179.8,63.41188111597593,0.0,0.0,-57.0,10.200000000000003,-208.0,71997.0,10.099999999999966
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,298.86,0.06992058987857318,308.98,0.09189365834804306,1503.3,168.6522062312465,40.510000000000005,8.690409784482096,160.9,84.39648491890325,0.0,0.0,4.0,-13.600000000000001,2.0,53135.799999999996,10.099999999999966
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,298.85,0.07071067811919651,308.96,0.10749676997800396,1455.4,81.28031058558538,43.239999999999995,6.434145026514566,142.0,96.67816023625328,0.0,-0.0999999999999659,43.0,12.0,2.0,72105.5,10.0
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,298.85,0.07071067811919651,308.94,0.09660917830873124,1455.2,81.29206603353327,43.44,6.542374696290833,123.3,102.95419693566001,0.0999999999999659,0.0999999999999659,5.0,-2.3999999999999986,5.0,68875.0,10.0
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,298.85,0.07071067811919651,308.91999999999996,0.0788810637756827,1463.6,75.53100908457166,43.08,6.582603335054192,104.6,104.8440111149257,0.0,0.0,3.0,-6.700000000000003,2.0,59282.399999999994,10.0
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,298.85,0.07071067811919651,308.90999999999997,0.05676462122119004,1451.3,60.89526527845726,43.589999999999996,6.064184473887089,85.9,102.59028544002918,0.10000000000002274,0.10000000000002274,16.0,-0.6999999999999957,2.0,58906.9,10.0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,298.85,0.07071067811919651,308.9,0.0471404520808636,1433.4,30.945112699752784,45.12,4.66876143461338,67.2,95.9013381901768,-0.10000000000002274,-0.10000000000002274,-47.0,7.5,2.0,67687.2,10.0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,298.87,0.0823272602353506,308.90999999999997,0.05676462122119004,1475.9,117.82326689674883,43.13,7.376396289667611,48.5,83.72076604204398,0.10000000000002274,0.10000000000002274,382.0,-20.8,2.0,48347.200000000004,10.0
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,298.89,0.08755950357757895,308.91999999999996,0.06324555320463159,1473.4,118.4381695231748,42.73,7.195222180184718,29.9,62.91873065047215,0.0,0.0,-368.0,17.099999999999998,3.0,63040.4,10.0
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,298.90999999999997,0.0875595035775995,308.93,0.06749485577221294,1482.3,120.23222899409777,41.779999999999994,7.988436086688746,11.6,8.058122196475447,0.0,0.0,108.0,-12.099999999999998,5.0,49099.200000000004,10.0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,298.92999999999995,0.08232726023542608,308.94,0.06992058987910037,1484.4,118.77074087875833,41.15,7.3604423176267755,14.3,8.260347046785038,0.0,0.0,-125.0,13.400000000000002,2.0,64138.8,10.0
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,298.94,0.0699205898787002,308.93999999999994,0.06992058987910037,1492.9,115.20652952174497,41.31,7.299079089553384,17.1,8.37257427557361,-0.10000000000002274,-0.10000000000002274,68.0,-5.700000000000003,3.0,58736.5,10.0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,298.95,0.052704627670420404,308.95,0.05270462767088899,1523.7,139.57240255708055,38.9,8.084140853135434,20.0,8.353309390760929,0.0,0.0,266.0,-13.7,3.0,45227.4,10.0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,298.95,0.052704627670420404,308.95,0.05270462767088899,1561.7,166.42385646294855,36.64,8.557933291526773,22.6,8.591985930052445,0.0,0.0,77.0,-0.9000000000000021,2.0,45567.0,10.0
