udi,product_id,type,air_temp,process_temp,rotational_speed,torque,tool_wear,failure,TWF,HDF,PWF,OSF,RNF,air_temp_rolling_mean,air_temp_rolling_std,air_temp_rolling_var,process_temp_rolling_mean,process_temp_rolling_std,process_temp_rolling_var,rotational_speed_rolling_mean,rotational_speed_rolling_std,rotational_speed_rolling_var,torque_rolling_mean,torque_rolling_std,torque_rolling_var,tool_wear_rolling_mean,tool_wear_rolling_std,tool_wear_rolling_var
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.56000000000006,0.08944271910021263,0.008000000000039541,309.1,0.12247448713966831,0.015000000000124778,1664.2,283.4408227478886,80338.70000000001,33.78,13.450167285205048,180.90700000000012,32.8,6.379655163094632,40.69999999999999
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.6,0.0,0.0,309.16,0.054772255751766724,0.003000000000136943,1616.2,278.78791222002434,77722.70000000001,38.67999999999999,13.413687039736686,179.92699999999994,36.4,5.128352561983234,26.299999999999997
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.6,0.0,0.0,309.17999999999995,0.04472135955158295,0.0020000000001419594,1593.8,301.7460853101495,91050.70000000001,39.14,13.691165034430048,187.44799999999992,39.4,3.9749213828703582,15.800000000000002
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.62,0.044721359550515406,0.0020000000000464755,309.2,0.0,0.0,1608.0,288.12063445716626,83013.50000000001,38.040000000000006,12.67312116252346,160.60799999999998,42.0,3.8078865529319548,14.500000000000005
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.66,0.08944271910028015,0.008000000000051619,309.2,0.0,0.0,1520.8,303.0193063156208,91820.70000000001,42.94,13.496962621271491,182.1679999999998,44.6,3.9749213828703582,15.800000000000002
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.72,0.13038404810426416,0.017000000000055072,309.21999999999997,0.04472135955173866,0.002000000000155886,1440.2,143.84436033435583,20691.199999999997,45.519999999999996,8.056488068631378,64.90699999999975,47.6,5.128352561983234,26.299999999999997
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.78000000000003,0.13038404810428542,0.017000000000060612,309.24,0.05477225575201515,0.003000000000164157,1406.8,133.2992873199253,17768.7,44.379999999999995,7.949654080524497,63.19699999999978,50.8,5.718391382198319,32.7
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.82000000000005,0.08366600265380587,0.007000000000066651,309.26000000000005,0.05477225575209558,0.0030000000001729676,1434.6,122.37156532462924,14974.800000000003,44.019999999999996,7.864286363046541,61.84699999999979,54.6,6.348228099241552,40.300000000000004
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.86,0.05477225575117979,0.0030000000000726477,309.28000000000003,0.04472135955203418,0.0020000000001823186,1468.8,136.81995468498008,18719.700000000004,41.04,9.719979423846528,94.47799999999988,58.2,6.058052492344383,36.699999999999996
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.9,0.07071067811923416,0.0050000000000819415,309.32,0.044721359552259796,0.002000000000202498,1559.2,150.95595384084726,22787.700000000004,35.28,8.157327993896045,66.54200000000009,61.8,5.263078946776306,27.699999999999996
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.91999999999996,0.08366600265391287,0.007000000000084557,309.34000000000003,0.05477225575246984,0.003000000000213966,1545.0,145.64168359367454,21211.500000000007,36.239999999999995,8.029819425117855,64.47800000000004,64.8,4.658325879540847,21.700000000000006
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.93999999999994,0.08944271910047556,0.008000000000086575,309.38,0.0836660026548347,0.0070000000002388065,1642.2,164.74434739923552,27140.700000000004,32.36,8.779977220927181,77.08800000000018,67.8,3.962322551231792,15.700000000000017
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,299.0,0.07071067811935174,0.005000000000098569,309.41999999999996,0.08366600265498586,0.007000000000264101,1654.6,148.15971112282853,21951.299999999996,31.2,6.909413868049897,47.74000000000024,70.2,3.962322551231792,15.700000000000017
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,299.04,0.05477225575146325,0.0030000000001036992,309.43999999999994,0.05477225575306269,0.003000000000278909,1700.6,155.13639160429122,24067.3,29.98,7.530405035587413,56.70700000000027,72.6,3.6469165057620967,13.30000000000002
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,299.06000000000006,0.0547722557514866,0.003000000000106257,309.44,0.05477225575306269,0.003000000000278909,1636.8,187.78764602603653,35264.2,33.68,9.250243240045105,85.56700000000015,75.4,4.505552130427526,20.30000000000002
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,299.06000000000006,0.0547722557514866,0.003000000000106257,309.43999999999994,0.05477225575306269,0.003000000000278909,1663.2,183.70138812758057,33746.2,32.239999999999995,9.105108456245878,82.9030000000002,78.2,4.658325879540847,21.700000000000003
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.08000000000004,0.04472135955121842,0.0020000000001093553,309.43999999999994,0.05477225575306269,0.003000000000278909,1558.8,191.3562123370966,36617.2,37.220000000000006,9.777627524098062,95.602,80.8,4.658325879540847,21.700000000000003
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.06,0.0547722557514866,0.003000000000106257,309.41999999999996,0.04472135955294774,0.00200000000026403,1616.0,215.13716554793595,46284.0,34.52,10.95613983116317,120.03700000000015,83.6,4.505552130427526,20.30000000000002
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,0.05477225575146325,0.0030000000001036992,309.41999999999996,0.04472135955294774,0.00200000000026403,1537.6,196.96903309911434,38796.799999999996,39.260000000000005,10.715549449281632,114.82299999999988,86.4,3.6469165057620967,13.300000000000022
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.0,0.07071067811938038,0.005000000000102619,309.4,0.07071067812040727,0.0050000000002478435,1582.8,194.60267212964987,37870.200000000004,36.92,10.644341219634025,113.30199999999996,88.6,3.6469165057620967,13.300000000000022
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,298.96,0.11401754251035484,0.013000000000100573,309.34000000000003,0.15165750888168958,0.023000000000199756,1556.0,184.60227517557848,34078.0,37.839999999999996,10.091977011468067,101.84799999999993,90.8,3.492849839314601,12.200000000000035
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.9,0.10000000000046905,0.010000000000093809,309.28000000000003,0.13038404810464288,0.017000000000153826,1578.6,156.11310002687154,24371.299999999996,37.92,10.195685361955809,103.95199999999994,93.2,3.492849839314601,12.200000000000035
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,298.88,0.08366600265396257,0.007000000000092871,309.23999999999995,0.114017542510457,0.013000000000123869,1535.2,99.92096877032363,9984.199999999988,40.160000000000004,7.71284642657948,59.48799999999985,95.6,3.974921382870363,15.80000000000004
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,298.84000000000003,0.05477225575137244,0.003000000000093752,309.18,0.08366600265385804,0.007000000000075382,1539.2,94.35147057677473,8902.199999999988,38.339999999999996,6.246038744676497,39.01299999999995,98.2,4.438468204234434,19.700000000000045
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,298.84,0.05477225575137244,0.003000000000093752,309.15999999999997,0.05477225575104026,0.003000000000057362,1482.0,85.27602242131131,7271.99999999999,41.980000000000004,7.2192104831484025,52.11699999999979,100.8,4.438468204234434,19.700000000000045
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,298.84000000000003,0.05477225575137244,0.003000000000093752,309.15999999999997,0.05477225575104026,0.003000000000057362,1440.2,89.22835872075643,7961.699999999992,45.540000000000006,7.119901684714447,50.69299999999963,104.0,4.949747468305838,24.50000000000005
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,298.84000000000003,0.05477225575137244,0.003000000000093752,309.14,0.054772255750901444,0.0030000000000421564,1422.2,95.13516699938037,9050.699999999993,44.9,6.917008023705022,47.84499999999966,107.0,4.949747468305838,24.50000000000005
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,298.82,0.04472135955107146,0.0020000000000962104,309.12,0.0447213595503103,0.0020000000000281303,1379.6,34.818098741889905,1212.2999999999952,47.72,5.458662839926966,29.796999999999528,109.8,4.658325879540852,21.700000000000053
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,298.82,0.04472135955107146,0.0020000000000962104,309.12,0.0447213595503103,0.0020000000000281303,1365.4,10.573551910308726,111.79999999999333,49.7,2.687936011143019,7.224999999999445,112.4,4.219004621945803,17.800000000000047
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,298.8,0.0,0.0,309.12,0.0447213595503103,0.0020000000000281303,1364.0,8.602325267042263,73.99999999999372,49.26,2.663268668384671,7.09299999999946,115.2,3.4928498393146006,12.200000000000031
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,298.8,0.0,0.0,309.12,0.0447213595503103,0.0020000000000281303,1388.4,46.870033070182394,2196.799999999991,48.26,1.9982492337042175,3.9929999999994923,118.0,4.690415759823432,22.00000000000003
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,298.8,0.0,0.0,309.12,0.0447213595503103,0.0020000000000281303,1413.8,61.20620883537872,3746.1999999999916,49.0,1.1999999999997781,1.4399999999994673,121.0,5.43139024560011,29.50000000000003
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,298.78000000000003,0.04472135955114137,0.0020000000001024632,309.1,0.07071067811876182,0.005000000000015142,1508.8,194.91972706732378,37993.7,44.0,10.195096860746329,103.93999999999964,124.0,5.43139024560011,29.50000000000003
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,298.78,0.04472135955114137,0.0020000000001024632,309.1,0.07071067811876182,0.005000000000015142,1518.8,187.0125664226872,34973.7,43.44,9.918064327276753,98.36799999999965,127.2,4.969909455915674,24.700000000000024
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,298.78000000000003,0.04472135955114137,0.0020000000001024632,309.1,0.07071067811876182,0.005000000000015142,1529.4,177.89125891959955,31645.300000000003,44.519999999999996,10.85642666810768,117.86199999999961,130.2,3.9623225512317943,15.700000000000035
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,298.8,0.0707106781193633,0.005000000000100204,309.12,0.08366600265357482,0.007000000000027988,1517.4,184.62746274593064,34087.3,43.839999999999996,10.728839639028987,115.10799999999963,133.2,4.658325879540855,21.700000000000077
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,298.82,0.08366600265399994,0.007000000000099124,309.12,0.08366600265357482,0.007000000000027988,1791.8,625.3652532720379,391081.7,34.94,19.852531324745463,394.1229999999999,136.2,5.263078946776318,27.70000000000012
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,298.86,0.054772255751402286,0.0030000000000970205,309.14,0.05477225575089561,0.003000000000041517,1699.8,649.3271132487846,421625.7,40.760000000000005,20.748445724921172,430.4979999999997,139.2,5.118593556827907,26.200000000000163
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,298.86,0.054772255751402286,0.0030000000000970205,309.12,0.08366600265357482,0.007000000000027988,1715.6,641.6718787667105,411742.8,40.26,20.611234800467432,424.8229999999997,142.0,4.690415759823449,22.000000000000185
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,298.84000000000003,0.08944271910053354,0.008000000000096949,309.08000000000004,0.08366600265342365,0.007000000000002693,1743.6,628.7454174783304,395320.8,36.5,19.164941951386126,367.29499999999985,145.4,4.505552130427543,20.300000000000175
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,298.8,0.10000000000048893,0.010000000000097787,309.0400000000001,0.054772255750341683,0.0029999999999808374,1799.4,603.8466692795448,364630.8,33.7,18.796143221416457,353.2949999999999,148.2,4.658325879540866,21.700000000000188
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,298.78,0.08366600265400545,0.007000000000100046,309.04,0.054772255750341683,0.0029999999999808374,1529.6,111.99017814076375,12541.8,40.92,9.417112083860943,88.68199999999977,150.8,4.658325879540866,21.700000000000188
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,298.76,0.054772255751461295,0.003000000000103485,309.03999999999996,0.054772255750341683,0.0029999999999808374,1548.4,86.13245613588414,7418.800000000006,38.42,5.705874166155422,32.55699999999984,153.4,4.219004621945817,17.80000000000016
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,298.76000000000005,0.054772255751461295,0.003000000000103485,309.06,0.05477225575044546,0.002999999999992206,1551.6,84.01666501355552,7058.800000000004,37.72,5.058853625081463,25.59199999999986,156.0,3.162277660168403,10.00000000000015
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,298.78000000000003,0.044721359551113546,0.0020000000000999748,309.06000000000006,0.05477225575044546,0.002999999999992206,1570.8,97.69953940526027,9545.200000000004,36.6,6.260990336999401,39.19999999999988,158.0,3.162277660168403,10.00000000000015
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,298.8,0.0,0.0,309.08000000000004,0.0447213595500418,0.002000000000004115,1508.2,101.62529212750142,10327.700000000004,41.459999999999994,8.850028248542474,78.32299999999978,160.2,3.49284983931462,12.200000000000166
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,298.8,0.0,0.0,309.08000000000004,0.0447213595500418,0.002000000000004115,1484.4,113.72686577937513,12933.800000000007,43.839999999999996,10.105592511080177,102.12299999999976,162.4,3.6469165057621176,13.300000000000173
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,298.8,0.0,0.0,309.06000000000006,0.05477225575044546,0.002999999999992206,1507.4,123.09874085464888,15153.300000000003,43.0,10.42473021233642,108.67499999999976,164.6,3.6469165057621176,13.300000000000173
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,298.8,0.0,0.0,309.04,0.054772255750341683,0.0029999999999808374,1570.6,189.76116567938766,36009.30000000001,39.52,13.882254860072255,192.71699999999973,167.0,3.807886552931978,14.500000000000181
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,298.82,0.044721359550957844,0.0020000000000860484,309.04,0.054772255750341683,0.0029999999999808374,1600.8,217.70323837738383,47394.70000000001,38.8,14.606334242375794,213.3449999999997,169.4,3.6469165057621176,13.300000000000173
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,298.86,0.08944271910037427,0.008000000000068456,309.03999999999996,0.054772255750341683,0.0029999999999808374,1629.8,188.2729401693191,35446.70000000001,35.64,11.833553988553044,140.03299999999965,171.8,3.9623225512318085,15.700000000000147
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,298.9,0.10000000000024949,0.010000000000049896,309.04,0.054772255750341683,0.0029999999999808374,1630.0,187.95877207515485,35328.500000000015,34.14,9.363920119266268,87.68299999999961,174.2,3.9623225512318085,15.700000000000147
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,298.91999999999996,0.0836660026536513,0.007000000000040787,309.02,0.08366600265323001,0.006999999999970293,1647.4,187.58811262977196,35189.30000000001,32.239999999999995,9.29774166128526,86.44799999999958,176.6,3.6469165057621176,13.300000000000173
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,298.91999999999996,0.0836660026536513,0.007000000000040787,309.0,0.0999999999997993,0.009999999999959862,1574.8,169.06418899341165,28582.70000000001,36.480000000000004,8.793861495384132,77.33199999999962,179.0,3.807886552931978,14.500000000000181
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,298.9,0.10000000000024949,0.010000000000049896,308.98,0.10954451150080487,0.01199999999994997,1517.8,105.008094926058,11026.700000000008,37.78,7.169170105388742,51.39699999999963,182.0,4.690415759823449,22.00000000000018
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,298.88,0.08366600265376341,0.007000000000059545,308.96000000000004,0.08944271909964377,0.007999999999937779,1495.2,115.26794871081904,13286.700000000008,43.2,14.470314440260088,209.38999999999965,184.8,5.118593556827906,26.20000000000016
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,298.86,0.054772255751133085,0.0030000000000675315,308.93999999999994,0.054772255749822134,0.0029999999999239238,1601.2,206.51561684289157,42648.700000000004,38.7,17.007792331751926,289.26499999999965,187.6,4.979959839195508,24.800000000000146
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,298.86,0.05477225575113309,0.003000000000067532,308.97999999999996,0.0836660026531243,0.006999999999952601,1555.8,210.05761114513325,44124.200000000004,42.06,16.177546167450725,261.7129999999996,190.6,4.505552130427542,20.300000000000168
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,298.88,0.0447213595506798,0.00200000000006118,309.02,0.08366600265328225,0.006999999999979033,1536.4,224.4132349038265,50361.30000000001,42.12,16.18755694970676,262.03699999999964,193.4,3.646916505762117,13.300000000000171
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,298.91999999999996,0.0447213595505527,0.0020000000000498113,309.06,0.05477225575052525,0.0030000000000009464,1549.4,225.61205641543185,50900.8,42.64,15.835182348176467,250.7529999999996,195.6,3.646916505762117,13.300000000000171
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,298.91999999999996,0.0447213595505527,0.0020000000000498113,309.06000000000006,0.05477225575052525,0.0030000000000009464,1587.6,211.85915132464777,44884.3,35.96,9.42141178380393,88.76299999999955,197.8,3.4928498393146197,12.200000000000164
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,298.9,0.0707106781190533,0.005000000000056362,309.0400000000001,0.08944271909993293,0.007999999999989507,1478.6,112.34010859884367,12620.29999999999,40.78,6.628499075959774,43.93699999999958,200.0,3.1622776601684026,10.000000000000147
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,298.88,0.08366600265379058,0.007000000000064093,309.0,0.09999999999980819,0.009999999999961639,1480.4,111.87850553167034,12516.799999999992,41.260000000000005,7.124113979997764,50.75299999999958,202.0,3.1622776601684026,10.000000000000147
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,298.86,0.08944271910039969,0.008000000000073004,308.96000000000004,0.0894427190996088,0.007999999999931525,1497.6,95.9468602925598,9205.799999999988,40.64,6.914332939626178,47.80799999999957,204.0,3.1622776601684026,10.000000000000147
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,298.82000000000005,0.0447213595510087,0.002000000000090597,308.91999999999996,0.044721359548868446,0.001999999999899167,1458.8,87.04136947452048,7576.199999999984,43.94,7.4651188871979555,55.72799999999964,164.0,91.706052144883,8410.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,298.8,0.0,0.0,308.9,0.0,0.0,1419.0,36.70830968595507,1347.4999999999827,45.059999999999995,5.422914345626311,29.407999999999646,124.0,112.29425630903836,12610.0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,298.8,0.0,0.0,308.88,0.04472135954845853,0.001999999999862503,1432.2,29.97832550360314,898.6999999999825,45.7,5.83780780773054,34.07999999999966,84.0,112.29425630903836,12610.0
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,298.82000000000005,0.0447213595510087,0.002000000000090597,308.88,0.04472135954845853,0.001999999999862503,1430.0,27.649593125396674,764.499999999983,45.62,5.802757964968007,33.671999999999656,44.6,91.40459507048865,8354.8
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,298.84000000000003,0.05477225575126412,0.0030000000000818855,308.88,0.04472135954845853,0.001999999999862503,1429.6,27.208454568387076,740.2999999999836,45.519999999999996,5.899321994941423,34.80199999999965,5.2,4.6583258795406515,21.69999999999818
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,298.88,0.08366600265380418,0.007000000000066368,308.9,0.07071067811783183,0.00499999999988362,1443.8,25.033976911389544,626.6999999999848,43.239999999999995,5.1679783281278935,26.70799999999958,7.8,4.6583258795406515,21.69999999999818
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,298.9,0.07071067811906938,0.005000000000058637,308.9,0.07071067811783183,0.00499999999988362,1447.8,16.99117417955525,288.6999999999851,45.18,4.430237013975621,19.626999999999622,10.4,4.219004621945582,17.79999999999818
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,298.94,0.05477225575092035,0.0030000000000442277,308.93999999999994,0.0547722557498312,0.002999999999924917,1519.6,159.8821440937042,25562.299999999992,40.559999999999995,8.475435092076369,71.83299999999956,13.0,3.1622776601680918,9.999999999998181
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,298.96,0.054772255750839924,0.003000000000035417,308.96,0.05477225575001541,0.002999999999945096,1516.8,161.51996780584125,26088.69999999999,39.839999999999996,7.869752219733448,61.932999999999545,15.2,3.492849839314336,12.199999999998182
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,298.98,0.0447213595502993,0.0020000000000271463,308.97999999999996,0.0447213595496136,0.0019999999999658156,1535.0,157.61345120261782,24841.99999999999,38.040000000000006,8.591449237468584,73.81299999999952,18.0,4.690415759823235,21.99999999999818
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,298.98,0.0447213595502993,0.0020000000000271463,308.97999999999996,0.0447213595496136,0.0019999999999658156,1525.0,164.29242222330276,26991.99999999999,39.06,9.179760345455623,84.26799999999955,20.8,5.118593556827713,26.19999999999818
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,298.97999999999996,0.0447213595502993,0.0020000000000271463,308.98,0.0447213595496136,0.0019999999999658156,1538.0,156.49121381087178,24489.49999999999,37.44,7.9248343831274815,62.80299999999953,23.8,5.263078946776134,27.699999999998177
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,298.96,0.054772255750819815,0.003000000000033214,308.96,0.05477225575001541,0.002999999999945096,1527.8,135.0062961494759,18226.69999999999,37.24,8.265772801135991,68.32299999999952,27.0,4.949747468305648,24.499999999998174
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,298.93999999999994,0.054772255750860026,0.0030000000000376193,308.94,0.0547722557498312,0.002999999999924917,1606.6,176.60492631860527,31189.299999999996,33.44,8.78936857800374,77.2529999999995,30.0,4.123105625617439,16.999999999998174
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,298.91999999999996,0.04472135955045103,0.0020000000000407175,308.91999999999996,0.044721359548936766,0.0019999999999052776,1643.2,179.329863659124,32159.199999999997,32.5,9.24797275082488,85.5249999999995,32.4,3.9749213828701286,15.799999999998176
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,298.93999999999994,0.0894427191002154,0.008000000000040036,308.91999999999996,0.044721359548936766,0.0019999999999052776,1649.4,169.9302798208724,28876.3,32.06,8.516043682367973,72.52299999999948,35.0,3.807886552931715,14.49999999999818
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,298.96,0.08944271910020109,0.008000000000037477,308.91999999999996,0.044721359548936766,0.0019999999999052776,1676.4,146.83085506799992,21559.299999999996,30.54,7.47014056092651,55.802999999999436,37.4,3.6469165057618445,13.299999999998182
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,298.97999999999996,0.08366600265361947,0.00700000000003546,308.94,0.0547722557498312,0.002999999999924917,1596.0,196.1721183043095,38483.5,35.82,11.516379639452651,132.62699999999958,39.6,3.6469165057618445,13.299999999998182
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,299.0,0.07071067811889503,0.005000000000033982,308.96,0.05477225575001541,0.002999999999945096,1545.0,147.15128269913245,21653.5,37.9,9.872942823697484,97.47499999999962,42.0,3.807886552931715,14.49999999999818
